,id,name,symbol,slug,num_market_pairs,date_added,tags,max_supply,circulating_supply,total_supply,infinite_supply,platform,cmc_rank,self_reported_circulating_supply,self_reported_market_cap,tvl_ratio,last_updated,quote.USD.price,quote.USD.volume_24h,quote.USD.volume_change_24h,quote.USD.percent_change_1h,quote.USD.percent_change_24h,quote.USD.percent_change_7d,quote.USD.percent_change_30d,quote.USD.percent_change_60d,quote.USD.percent_change_90d,quote.USD.market_cap,quote.USD.market_cap_dominance,quote.USD.fully_diluted_market_cap,quote.USD.tvl,quote.USD.last_updated,platform.id,platform.name,platform.symbol,platform.slug,platform.token_address,timestamp
0,1,Bitcoin,BTC,bitcoin,10851,2010-07-13T00:00:00.000Z,"['mineable', 'pow', 'sha-256', 'store-of-value', 'state-channel', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'galaxy-digital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'bitcoin-ecosystem', 'ftx-bankruptcy-estate']",21000000.0,19646281.0,19646281.0,False,,1,,,,2024-03-06T13:57:00.000Z,66554.56130442405,106170393722.70638,37.307,0.48713279,-1.71022042,10.14794553,53.40374481,52.11697716,53.78483431,1307549613218.4414,52.4959,1397645787392.91,,2024-03-06T13:57:00.000Z,,,,,,2024-03-06 17:12:20.398216
1,1027,Ethereum,ETH,ethereum,8503,2015-08-07T00:00:00.000Z,"['pos', 'smart-contracts', 'ethereum-ecosystem', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'injective-ecosystem', 'layer-1', 'ftx-bankruptcy-estate']",,120119793.99019563,120119793.99019563,True,,2,,,,2024-03-06T13:57:00.000Z,3843.439149905668,52495018757.01661,57.3688,0.28218597,1.82144106,14.73148694,65.14668192,71.61872094,70.93606763,461673118900.5214,18.6109,461673118900.52,,2024-03-06T13:57:00.000Z,,,,,,2024-03-06 17:12:20.398216
2,825,Tether USDt,USDT,tether,77080,2015-02-25T00:00:00.000Z,"['payments', 'stablecoin', 'asset-backed-stablecoin', 'avalanche-ecosystem', 'solana-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'injective-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem']",,100440278569.94366,103800078701.87056,True,,3,,,,2024-03-06T13:56:00.000Z,1.0002252038504191,193554889159.28665,36.8964,-0.00492376,-0.05289456,-0.02104877,0.1152848,-0.041729,-0.00657219,100462898107.41478,4.0498,103823454879.27,,2024-03-06T13:56:00.000Z,1027.0,Ethereum,ETH,ethereum,0xdac17f958d2ee523a2206206994597c13d831ec7,2024-03-06 17:12:20.398216
3,1839,BNB,BNB,bnb,2083,2017-07-25T00:00:00.000Z,"['marketplace', 'centralized-exchange', 'payments', 'smart-contracts', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'bnb-chain', 'layer-1', 'sec-security-token', 'alleged-sec-securities', 'celsius-bankruptcy-estate']",,149529709.881151,149529709.881151,False,,4,,,,2024-03-06T13:56:00.000Z,422.4533198536698,4063392192.4364085,60.6244,0.08138624,0.48754071,2.1263491,39.54659296,38.13063274,83.21143432,63169322356.04833,2.5397,63169322356.05,,2024-03-06T13:56:00.000Z,,,,,,2024-03-06 17:12:20.398216
4,5426,Solana,SOL,solana,634,2020-04-10T00:00:00.000Z,"['pos', 'platform', 'solana-ecosystem', 'cms-holdings-portfolio', 'kenetic-capital-portfolio', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'okex-blockdream-ventures-portfolio', 'layer-1', 'ftx-bankruptcy-estate', 'sec-security-token', 'alleged-sec-securities']",,442483140.75795823,571208521.2829393,True,,5,,,,2024-03-06T13:57:00.000Z,128.05920255970676,9776300001.023373,105.101,-0.91609233,-3.57928742,13.89379988,30.55151319,35.72104698,100.14893473,56664038151.57861,2.275,73148507730.8,,2024-03-06T13:57:00.000Z,,,,,,2024-03-06 17:12:20.398216
5,52,XRP,XRP,xrp,1240,2013-08-04T00:00:00.000Z,"['medium-of-exchange', 'enterprise-solutions', 'arrington-xrp-capital-portfolio', 'galaxy-digital-portfolio', 'a16z-portfolio', 'pantera-capital-portfolio', 'ftx-bankruptcy-estate']",100000000000.0,54664031281.0,99987852435.0,False,,6,,,,2024-03-06T13:57:00.000Z,0.6029014620732266,4477052469.024127,14.347,-0.11020265,-7.49006136,2.72333026,18.86321324,6.30403973,-4.59000211,32957024382.131493,1.3263,60290146207.32,,2024-03-06T13:57:00.000Z,,,,,,2024-03-06 17:12:20.398216
6,3408,USDC,USDC,usd-coin,17053,2018-10-08T00:00:00.000Z,"['medium-of-exchange', 'stablecoin', 'asset-backed-stablecoin', 'coinbase-ventures-portfolio', 'hedera-hashgraph-ecosystem', 'fantom-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem']",,28971682552.517925,28971682552.517925,False,,7,,,,2024-03-06T13:57:00.000Z,1.0000571584382305,19010867067.028324,49.9143,0.00995504,-9.785e-05,0.03902128,-0.01085766,0.00609324,-0.01146542,28973338528.64554,1.1649,28973338528.65,,2024-03-06T13:57:00.000Z,1027.0,Ethereum,ETH,ethereum,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,2024-03-06 17:12:20.398216
7,2010,Cardano,ADA,cardano,1088,2017-10-01T00:00:00.000Z,"['dpos', 'pos', 'platform', 'research', 'smart-contracts', 'staking', 'cardano-ecosystem', 'cardano', 'layer-1', 'sec-security-token', 'alleged-sec-securities']",45000000000.0,35489262920.873,36685854736.851,False,,8,,,,2024-03-06T13:56:00.000Z,0.7160562515533547,2159227024.521727,52.1001,-0.21340734,-7.63866681,12.85174295,42.21107913,37.17532279,64.31517523,25412308577.511784,1.0217,32222531319.9,,2024-03-06T13:56:00.000Z,,,,,,2024-03-06 17:12:20.398216
8,74,Dogecoin,DOGE,dogecoin,905,2013-12-15T00:00:00.000Z,"['mineable', 'pow', 'scrypt', 'medium-of-exchange', 'memes', 'payments', 'doggone-doggerel', 'bnb-chain', 'ftx-bankruptcy-estate']",,143354606383.70526,143354606383.7052,True,,9,,,,2024-03-06T13:57:00.000Z,0.16339787477849801,7939606643.836759,-3.3323,0.29879021,-14.31912032,65.32824046,104.62146688,102.64021028,73.08365505,23423838022.805546,0.9404,23423838022.81,,2024-03-06T13:57:00.000Z,,,,,,2024-03-06 17:12:20.398216
9,5994,Shiba Inu,SHIB,shiba-inu,753,2020-08-01T00:00:00.000Z,"['memes', 'ethereum-ecosystem', 'doggone-doggerel']",,589289410812691.0,589534086491242.2,False,,10,,,,2024-03-06T13:56:00.000Z,3.4707012263112155e-05,12225063397.594051,-17.6055,0.89643859,-18.87592543,211.76653113,285.25608394,261.68350122,262.38612952,20452474807.5982,0.8223,20460966769.37,,2024-03-06T13:56:00.000Z,1027.0,Ethereum,ETH,ethereum,0x95ad61b0a150d79219dcf64e1e6cc01f0b64c4ce,2024-03-06 17:12:20.398216
